"asset_id","source_path","checksum_sha256","used_in_section"
"rf_model.rds","D:\2025-2026\Vegetation_Ecology\03_analysis\04_results\ml\rf_model.rds","63DFD6A4A34C9A119B36AAFDF1E19DEA341BA54FC762D3D86239494EA13510D5","Results / Regeneration Modelling"
"xgb_model.bin","D:\2025-2026\Vegetation_Ecology\03_analysis\04_results\ml\xgb_model.bin","071BD5EB8ADAF50A16494F61F7715E33D3D133622AB001FC890BC4B822FF8F5B","Results / Regeneration Modelling"
"rf_importance.csv","D:\2025-2026\Vegetation_Ecology\03_analysis\03_outputs\tables\rf_importance.csv","E1ECDE5A95A30A999A834D8C47E11C2D042EB7B462A34D77B2DE8CE087FCC1EF","Results / Regeneration Modelling"
"xgb_importance.csv","D:\2025-2026\Vegetation_Ecology\03_analysis\03_outputs\tables\xgb_importance.csv","FF6769EC1CA2EAFE60BE9C6E3A15EECCA50AE29268F2097EFC982E0BE9F0E50A","Results / Regeneration Modelling"
"Methods_Computation.md","D:\2025-2026\Vegetation_Ecology\03_analysis\06_stage3\03_manuscript_blocks\Methods_Computation.md","9EA7597CA863E0F037D1CBE4F7F8B3364D2AB3472C38B42CEC1A887CB8C6CB28","Methods, Results, Captions"
"Results_Stage2.md","D:\2025-2026\Vegetation_Ecology\03_analysis\06_stage3\03_manuscript_blocks\Results_Stage2.md","6718FB3BE0C97615DD676F40B6436966DBB1A21F8AB248BAF74A26497BD3D7BF","Methods, Results, Captions"
"Figure_Captions.md","D:\2025-2026\Vegetation_Ecology\03_analysis\06_stage3\03_manuscript_blocks\Figure_Captions.md","C4ED41893F41F78509EA1D5A5846668D969AD2CAD4471E6D7577AC3093A4DD10","Methods, Results, Captions"
"TRACEABILITY.csv","D:\2025-2026\Vegetation_Ecology\03_analysis\06_stage3\TRACEABILITY.csv","ABD5A6CB348F6F774C1235FE619656D9397C3008C6CC7FC87350690CC2C99BFA","Data Availability"
"DATA_AVAILABILITY.md","D:\2025-2026\Vegetation_Ecology\03_analysis\06_stage3\05_data_release\DATA_AVAILABILITY.md","93DF873102D60F23C0F030EB5BBB2E9DAF99AEC151A245F3479A558A06AB4AF6","Data Availability"
"Figure01_NMDS.pdf","D:\2025-2026\Vegetation_Ecology\03_analysis\06_stage3\01_figures\Figure01_NMDS.pdf","1CAE83A461F4DFFA788F55249779047992C3223E6E940FAA6A96AB43AC911E61","Results / Community Ordination"
"Figure01_NMDS.png","D:\2025-2026\Vegetation_Ecology\03_analysis\06_stage3\01_figures\Figure01_NMDS.png","8CC1E4A903CF1E78B750B11FA1A8BD0CA0F2FF3E600167C76ABEE5F6F6CE8499","Results / Community Ordination"
"Figure02_Diversity.pdf","D:\2025-2026\Vegetation_Ecology\03_analysis\06_stage3\01_figures\Figure02_Diversity.pdf","936CC58748714ADED6E1DFB78F43839EDA801D33BF2B5039C100F40E5CEA5EDC","Results / Diversity"
"Figure02_Diversity.png","D:\2025-2026\Vegetation_Ecology\03_analysis\06_stage3\01_figures\Figure02_Diversity.png","7004CCB3ACE560B6DAFEE70D3AA323B5F31014B1E043E784128835326039ACCB","Results / Diversity"
"Figure03_SpeciesAccumulation.pdf","D:\2025-2026\Vegetation_Ecology\03_analysis\06_stage3\01_figures\Figure03_SpeciesAccumulation.pdf","E2082F84DBD4D38622D513204E4C0DE5786F264123F68B0B718FB5637A4ECCE4","Results / Diversity"
"Figure03_SpeciesAccumulation.png","D:\2025-2026\Vegetation_Ecology\03_analysis\06_stage3\01_figures\Figure03_SpeciesAccumulation.png","5100B54AAF55A735E25DB692CED9D66F08AA7991B1E4D3EAFDC30EE349978BEF","Results / Diversity"
"Figure04_CCA.pdf","D:\2025-2026\Vegetation_Ecology\03_analysis\06_stage3\01_figures\Figure04_CCA.pdf","99EC3F8016349CEA1B041752DDFC7098C5E9BD243037A916F37D00A94AD6D7AF","Results / Species-Environment"
"Figure04_CCA.png","D:\2025-2026\Vegetation_Ecology\03_analysis\06_stage3\01_figures\Figure04_CCA.png","608D892E98D7E94D777647D0CD61FDABD6530D70A0017A5355F13757F473D1C8","Results / Species-Environment"
"Figure05_RF_Importance.pdf","D:\2025-2026\Vegetation_Ecology\03_analysis\06_stage3\01_figures\Figure05_RF_Importance.pdf","53148EE8062E31D2B9097AE86F4642C86A5686E349953B94F40A3E019B4D8183","Results / Regeneration Modelling"
"Figure05_RF_Importance.png","D:\2025-2026\Vegetation_Ecology\03_analysis\06_stage3\01_figures\Figure05_RF_Importance.png","B2C0E241057E9E8CA9B36EDBA7462DFA679B3BA4E3F6CAC5A701795745D2A2A6","Results / Regeneration Modelling"
"Figure06_Diversity_Elevation.pdf","D:\2025-2026\Vegetation_Ecology\03_analysis\06_stage3\01_figures\Figure06_Diversity_Elevation.pdf","C6D40B0EA727AED1AD0236069D5669EC0F10C60B50DBC599CAD6C877A88C53F3","Results / Diversity"
"Figure06_Diversity_Elevation.png","D:\2025-2026\Vegetation_Ecology\03_analysis\06_stage3\01_figures\Figure06_Diversity_Elevation.png","4E4D20147D3E9CE76EAA8E0C1B7D0A25FBCE9B7631D6F899212D123927DF5D7A","Results / Diversity"
"Table01_QC_Summary.csv","D:\2025-2026\Vegetation_Ecology\03_analysis\06_stage3\02_tables\Table01_QC_Summary.csv","210B755F5BDD78F02B71B11688939D8C51A54D1A1A69819985611C3E13E8E9C0","Methods / Data Preparation"
"Table02_PERMANOVA.csv","D:\2025-2026\Vegetation_Ecology\03_analysis\06_stage3\02_tables\Table02_PERMANOVA.csv","1FF4CB97CF91D6F12D392D2385B489AE9A10B9922CBB8C97CCCAEFAB072114D3","Results / Community Differences"
"Table03_CCA.csv","D:\2025-2026\Vegetation_Ecology\03_analysis\06_stage3\02_tables\Table03_CCA.csv","1E132A7CFC72A798B56FC31F19024852C0FD8353064A2221B7EC3A75626C9E2F","Results / Species-Environment"
"Table04_Diversity.csv","D:\2025-2026\Vegetation_Ecology\03_analysis\06_stage3\02_tables\Table04_Diversity.csv","C5DEBDDE4EE650A70E51497DE4E7F8BCAC6AF5ED1934907158CA6F66165CDA72","Results / Diversity"
"Table05_Indicators.csv","D:\2025-2026\Vegetation_Ecology\03_analysis\06_stage3\02_tables\Table05_Indicators.csv","66D126BA8ABFD936D02647EBE1DF84038FEDD82F4F050BB195EA95AC1899964A","Results / Indicator Species"
"Table06_ML_Performance.csv","D:\2025-2026\Vegetation_Ecology\03_analysis\06_stage3\02_tables\Table06_ML_Performance.csv","6D086CDB517212AFDC17F441BFEC2B8B783C4017AC0960D570233DDF18C89E0D","Results / Regeneration Modelling"
"TableS1_VIF_all_strata.csv","D:\2025-2026\Vegetation_Ecology\03_analysis\06_stage3\04_supplementary\TableS1_VIF_all_strata.csv","E3D5E21653EBD5755FFE781DFC157852F805A36ED958235C284A5E98DDA7F058","Supplementary"
"TableS10_matrix_diagnostics.csv","D:\2025-2026\Vegetation_Ecology\03_analysis\06_stage3\04_supplementary\TableS10_matrix_diagnostics.csv","1B1F6A1EEB8CEA3EF305F7E71A578FF01A77BBD5D7846EBB7574106090B697A7","Supplementary"
"TableS2_PERMANOVA_full.csv","D:\2025-2026\Vegetation_Ecology\03_analysis\06_stage3\04_supplementary\TableS2_PERMANOVA_full.csv","1FF4CB97CF91D6F12D392D2385B489AE9A10B9922CBB8C97CCCAEFAB072114D3","Supplementary"
"TableS3_envfit_all.csv","D:\2025-2026\Vegetation_Ecology\03_analysis\06_stage3\04_supplementary\TableS3_envfit_all.csv","B1ABE94AA4C7B3EE14409FF50B2D345EF5765670284DB3D6DEF214B8519EF408","Supplementary"
"TableS4_indicator_species_full.csv","D:\2025-2026\Vegetation_Ecology\03_analysis\06_stage3\04_supplementary\TableS4_indicator_species_full.csv","0D587635B7C281CC8AB0168180958E1E6BE5C0822DD5EB1814CD85D5FF02187A","Supplementary"
"TableS5_ML_parameters.csv","D:\2025-2026\Vegetation_Ecology\03_analysis\06_stage3\04_supplementary\TableS5_ML_parameters.csv","C6B665506833CF57CCD0F1F5C0EEDAC550112D3FDE2F0174BD8300BA1DBEF9A0","Supplementary"
"TableS6_variable_importance.csv","D:\2025-2026\Vegetation_Ecology\03_analysis\06_stage3\04_supplementary\TableS6_variable_importance.csv","A2C4E36132B063DF2F37639896AD30930575106AD71F8826F4864484D23DD553","Supplementary"
"TableS7_CV_fold_results.csv","D:\2025-2026\Vegetation_Ecology\03_analysis\06_stage3\04_supplementary\TableS7_CV_fold_results.csv","A552F406409DA8B01CA4B17E1267C31253C4304C5CD31EAC81B6F886E5962B89","Supplementary"
"TableS8_diversity_correlations.csv","D:\2025-2026\Vegetation_Ecology\03_analysis\06_stage3\04_supplementary\TableS8_diversity_correlations.csv","3B50408C23B9B42F572E03B839AB083213DE8C7B4209BB0020D9E5A00CBA2C2F","Supplementary"
"TableS9_beta_diversity.csv","D:\2025-2026\Vegetation_Ecology\03_analysis\06_stage3\04_supplementary\TableS9_beta_diversity.csv","5ABACFE16DDD5422DFCE5966E7E6F4C60E220EB0113C9AD58D257095F1714405","Supplementary"
"checksums.sha256.csv","D:\2025-2026\Vegetation_Ecology\03_analysis\06_stage3\05_data_release\checksums.sha256.csv","64C4CE02C3FDCEEEC126451F6DB56BF2B8C4C919F3DE0BD5E124F7C5ED42FC44","Data Availability"
"CITATION.cff","D:\2025-2026\Vegetation_Ecology\03_analysis\06_stage3\05_data_release\CITATION.cff","F3C73A720CBFA939B0C86391D7846AB1E79A97BD1B4849D96F82DE01333386CD","Data Availability"
"DATA_AVAILABILITY.md","D:\2025-2026\Vegetation_Ecology\03_analysis\06_stage3\05_data_release\DATA_AVAILABILITY.md","93DF873102D60F23C0F030EB5BBB2E9DAF99AEC151A245F3479A558A06AB4AF6","Data Availability"
"LICENSE","D:\2025-2026\Vegetation_Ecology\03_analysis\06_stage3\05_data_release\LICENSE","06DCDDBB6908A0C6DD4A9E8EC822EEA41D5A460A53089FECCCC8A68049E99241","Data Availability"
"renv.lock","D:\2025-2026\Vegetation_Ecology\03_analysis\06_stage3\05_data_release\renv.lock","600F450CC57DB3C4C6F9FADD0EBFC5857C14C1265A44CB1E52A84FB77535FF29","Data Availability"
