Plot ID,Elevation,Latitude,Longitude,Slope,Temperature,Precepitation,Eto,Water Balance,Aspect
194,500,26.829513,90.185009,45,22.44,3816.01,977.61,2514.82,7
195,375,26.827862,90.187711,6,23.13,4862.74,992.89,3402.39,4
196,358,26.829701,90.190326,5,23.22,4863.99,995.4,3418.58,4
197,1023,27.01138,90.583954,30,19.95,2298.85,950.63,2145.65,8
198,1003,27.009519,90.582475,27,20.05,2370.54,952.73,2220.1,7
199,268,26.838249,90.19912,0,23.73,4881.63,1008.45,3502.96,4
200,1964,27.018803,90.614084,25,14.81,2335.57,834.57,2212.61,7
201,1540,27.0121,90.611801,25,17.12,2384.04,886.15,2240.55,4
202,278,26.83578,90.195452,4,23.67,4805.63,1006.68,3421.4,8
203,1495,27.015498,90.604808,29,17.37,2284.11,892.5,2142.14,6
204,1426,27.001931,90.599303,30,17.72,2363.66,898.26,2165.31,2
205,1337,27.001902,90.597047,25,18.21,2462.64,909.38,2280.35,1
206,1161,27.006491,90.591801,38,19.18,2180.16,932.35,1976.04,8
207,1034,27.008741,90.588421,22,19.88,2473.28,948.7,2333.31,6
208,268,26.838174,90.19906,0,23.73,4882.69,1008.44,3503.22,4
209,1735,27.023697,90.619164,29,16.07,2224.01,864.23,2108.3,7
210,405,26.918404,90.491804,7,23.14,3634.63,1008.25,2997.97,5
211,450,26.921374,90.491924,27,22.9,3139.15,1003.25,2535.86,5
212,435,26.923953,90.491011,27,22.99,3114.3,1005.67,2528.16,5
213,470,26.927284,90.487684,28,22.81,3060.91,1002,2495.5,4
214,386,26.91272,90.484821,25,23.24,3272.39,1009.43,2611.65,4
215,469,26.916587,90.483691,28,22.79,3165.94,999.87,2530.74,2
216,957,26.916587,90.483691,5,20.12,3704.75,938.87,3043.71,1
